"attitude","education","income","gender","class"
4,2,1,0,5
6,2,3,1,3
4.2,2,3,1,2
2,2,2,0,1
3.4,2,3,0,5
2.4,2,2,1,2
1,2,2,0,4
1,2,1,0,4
3.8,3,2,1,5
5,3,3,1,5
2.8,2,3,0,4
1,1,2,0,1
1,2,3,1,2
5,3,3,1,5
2.4,2,3,1,5
2.8,2,3,0,4
4.6,2,NA,0,4
4.8,3,NA,1,5
4.2,2,3,0,5
7.6,2,NA,0,4
7.4,3,NA,1,1
5.6,1,NA,1,4
7,2,NA,1,1
8,2,NA,1,NA
NA,2,NA,0,NA
5.2,3,NA,1,5
5.6,3,NA,1,5
6.33333333333333,2,NA,1,NA
NA,1,NA,0,2
7.6,2,NA,0,2
7.5,2,NA,0,4
5.4,2,NA,1,2
5,2,NA,1,4
5,2,NA,1,2
7.2,2,NA,1,1
6.6,2,NA,0,1
5,1,NA,0,4
6,2,NA,1,NA
5.4,2,NA,1,1
4.6,2,NA,1,NA
7,2,NA,1,2
5,2,NA,0,4
6.6,2,NA,1,5
6.6,3,NA,1,5
5.2,2,NA,0,4
5.2,2,NA,1,2
6.25,2,NA,0,4
7,3,NA,1,2
6.5,3,NA,1,3
7.8,2,NA,0,5
4.6,2,2,0,5
5.6,2,NA,0,5
4.6,2,NA,1,2
6.4,3,3,0,4
7,3,3,1,5
7.2,2,1,0,4
4.8,2,3,1,5
7.66666666666667,1,1,0,1
5,2,2,1,3
2.2,1,2,0,1
3.4,3,NA,1,2
10,3,3,1,3
7.4,3,3,1,5
3.2,2,2,0,1
7.6,2,3,0,4
7.8,2,1,0,5
9,3,3,0,5
3.8,2,3,1,4
9,1,1,0,1
4.8,2,NA,1,4
6.6,2,1,1,2
4.8,2,1,1,5
4.5,2,2,0,1
6.6,3,3,0,5
8,2,2,1,5
4.6,1,3,0,4
6.2,2,NA,0,4
5.4,2,1,0,5
6.4,2,1,1,5
6,3,2,0,5
7,2,NA,1,2
6.6,2,3,0,4
7.5,2,3,0,5
